id;start_date;end_date;language
1;2020-01-26T00:44:17;2020-01-25T22:34:32;SPANISH
2;2020-01-25T05:34:28;2020-01-26T00:38:53;SPANISH
3;2020-01-25T20:29:47;2020-01-25T07:03:56;FRENCH
4;2020-01-25T11:47:18;2020-01-25T23:18:44;FRENCH
5;2020-01-25T21:17:36;2020-01-26T02:04:35;FRENCH
6;2020-01-25T15:09:57;2020-01-26T03:18:11;FRENCH
7;2020-01-25T16:55:17;2020-01-25T10:46:08;FRENCH
8;2020-01-25T15:51:30;2020-01-26T02:07:38;SPANISH
9;2020-01-25T14:32:39;2020-01-25T11:14:02;SPANISH
10;2020-01-25T22:44:43;2020-01-25T09:19:13;SPANISH
